sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
swars1,0,NA,0.77270353,3.941816213,1.064186569,3,1,0.844,0.058913552,NA,76.32052147,0.427476327,3.177023555,2.496432268,0.966681619,1.002630016,0
hybapr,1,5.022831292,0.580445494,1.852728832,-1.794656142,3,1,0.67,0.063456586,0.02774,43.15576534,0.271028886,3.612241453,NA,1.384916283,NA,0
aegipa,2,NA,0.4558328,-0.506814552,-1.048671018,2,4,0.657,0.138716029,NA,31.00215137,0.245004886,3.993180166,NA,2.26315515,NA,#N/A
beilpe,3,0.522808599,0.527503989,0.829889549,1.118922991,3,3,0.574,0.077631815,6.817824,69.84715666,0.31605966,1.708041044,1.533725633,0.815856971,0.702771971,1
faraoc,4,13.42275761,0.609443794,1.405877096,0.546496903,3,1,0.588,0.087931995,0.325216,63.74261836,0.383305821,1.922350764,NA,0.867770253,NA,0
tet2pa,5,8.122797415,0.588927298,1.408346221,0.478442221,3,1,0.717,0.08128115,0.4027125,74.75462651,0.480005808,1.568800171,1.384929778,0.729561318,0.788557941,0
des2pa,6,8.122818302,0.536031328,1.731824976,-1.118780914,3,1,0.764,0.07113394,0.180868261,57.226343,0.33606704,2.42500823,NA,1.069901666,NA,1
crotbi,7,-53.07756923,0.478425261,-4.628285216,-1.194159578,1,2,0.516,0.312347937,NA,34.95167453,0.21716212,3.445751954,2.832708054,1.766558433,1.560137057,1
alsebl,8,6.822814841,0.577973969,2.366613107,0.85390399,3,1,0.536,0.07433822,0.000082,39.55945156,0.265018207,3.549719041,3.140106123,1.28398058,1.195203361,1
ouralu,9,8.722872385,0.802322762,3.402976788,-1.502884716,3,1,0.727,0.050006766,0.15243,103.4502135,0.467262587,1.390230508,NA,0.663283848,NA,0
mourmy,10,4.122840678,0.788029779,1.641429415,-1.710324537,3,4,0.834,0.065513049,0.05599,76.17442122,0.436224819,1.648490671,1.756021215,0.705741663,0.758263355,0
ocotob,11,NA,0.391162516,-2.910795093,0.823269504,1,2,0.386,0.250128393,NA,51.72510677,0.299435579,2.547038718,2.698398653,0.896433401,1.120462398,0
paligu,12,-60.77739532,0.319528354,-4.328637442,-1.266471496,1,2,0.54,0.24891973,0.009560333,42.4065333,0.364911038,3.429541007,NA,1.014245011,NA,0
solaha,13,NA,0.406959919,-4.432469633,-1.039611644,1,2,0.422,0.32861156,NA,52.59608901,0.231017118,3.047639608,2.698830128,1.726404695,1.178752589,0
quaras,14,NA,0.468114661,1.051243015,1.795927703,3,3,0.454,0.084869409,0.210805833,47.83846557,0.291754089,2.473526001,2.449650049,1.233029627,1.904843902,0
gustsu,15,NA,0.612491625,0.798353102,2.17812402,3,3,0.58,0.142573103,13.10967996,44.69169102,0.262536933,3.106857288,3.557344377,1.724169403,1.996954595,0
